taxon,COG_number,LFQ.intensity.HiSF_14spcs_m04_2_147,LFQ.intensity.HiSF_14spcs_m06_2_148,LFQ.intensity.HiSF_14spcs_m07_2_149,LFQ.intensity.HiSF_14spcs_m10_2_150,LFQ.intensity.HiSF_14spcs_m13_2_151,LFQ.intensity.HiSF_15spcs_m03_1_132,LFQ.intensity.HiSF_15spcs_m07_1_133,LFQ.intensity.HiSF_15spcs_m09_1_134,LFQ.intensity.HiSF_15spcs_m14_1_136,LFQ.intensity.PEFi_14spcs_m00_0_127,LFQ.intensity.PEFi_14spcs_m01_1_128,LFQ.intensity.PEFi_14spcs_m02_1_129,LFQ.intensity.PEFi_14spcs_m04_1_130,LFQ.intensity.PEFi_14spcs_m13_1_131,LFQ.intensity.PEFi_15spcs_m05_2_142,LFQ.intensity.PEFi_15spcs_m08_2_143,LFQ.intensity.PEFi_15spcs_m09_2_144,LFQ.intensity.PEFi_15spcs_m12_2_145,LFQ.intensity.PEFi_15spcs_m14_2_146
Bacteroides caccae TSDC17.2,COG0058,0,0,1129700,781450,1109600,1193100,736650,1558200,682620,358670,0,0,0,0,0,0,0,0,490050
Bacteroides caccae TSDC17.2,COG0059,28575000,26393000,16999000,53508000,35232000,44557000,48287000,42231000,48728000,72555000,87842000,81569000,70236000,86275000,113350000,89955000,77764000,68397000,82498000
Bacteroides caccae TSDC17.2,COG0060,1849100,1558800,3082900,1474200,2072200,2345300,1529500,2229500,2413100,0,0,0,0,0,787480,674340,762380,888380,616520
Bacteroides caccae TSDC17.2,COG0065,0,0,0,0,0,0,0,0,0,778080,0,3131700,0,1783100,429610,1784300,3955100,0,0
Bacteroides caccae TSDC17.2,COG0067,0,1762500,0,1394500,436730,0,0,0,0,3460200,3566200,4115700,4088000,4835000,3324500,9874500,8569500,1789400,12267000
Bacteroides caccae TSDC17.2,COG0071,16478000,16119000,13141000,35769000,21199000,33756000,48028000,54623000,63148000,12704000,6325500,9452900,10198000,13333000,15049000,21268000,12021000,17136000,13394000
Bacteroides caccae TSDC17.2,COG0072,1439700,1049700,2386900,830460,853530,7767700,5575400,7041400,3999300,878200,5.00E+05,926090,0,0,2253500,436090,609230,0,705150
Bacteroides caccae TSDC17.2,COG0073,203890,0,0,0,0,0,0,0,0,397470,249230,0,0,0,0,0,512790,0,0
Bacteroides caccae TSDC17.2,COG0078,4572500,8725900,5491700,5810500,2304500,6318800,7851500,6433500,5560000,12031000,11113000,10341000,10856000,9707600,9340200,6339800,6536900,3711100,1908300
Bacteroides caccae TSDC17.2,COG0079,1528200,1843470,943970,961060,393970,2902100,0,1105450,0,157680,0,0,261310,0,239690,0,320970,0,0
Bacteroides caccae TSDC17.2,COG0080,147020000,114030000,98163000,95415000,99134000,292410000,253870000,318290000,250270000,239390000,281930000,279680000,241710000,249400000,297910000,282610000,262620000,411800000,244100000
Bacteroides caccae TSDC17.2,COG0081,14488000,16118000,12124000,11486000,22545000,13606000,8864600,17377000,10243000,8735100,3904900,4882100,6152100,5797600,10936000,13219000,11709000,14282000,11493000
Bacteroides caccae TSDC17.2,COG0082,6184100,5342700,4432500,7283400,7616000,0,0,2235500,0,5587900,5268300,2471900,5431200,4600100,0,2224000,1921700,3097900,1650100
Bacteroides caccae TSDC17.2,COG0085,5196600,0,0,0,0,3044400,784930,0,793210,665950,909780,4391400,805500,710890,2160800,1112600,0,2568700,33875000
Bacteroides caccae TSDC17.2,COG0086,0,0,0,0,0,0,0,0,0,1586700,421420,1104800,977650,963840,0,7616100,13123000,739920,11853000
Bacteroides caccae TSDC17.2,COG0087,122880000,81100000,75291000,92144000,69248000,97217000,84437000,69078000,100820000,194580000,166180000,206200000,138080000,187510000,73685000,147830000,149880000,88452000,141270000
Bacteroides caccae TSDC17.2,COG0088,0,0,0,659520,0,0,463650,0,0,3254100,4313600,4749100,2999200,2994500,457190,6800700,8867000,0,12680000
Bacteroides caccae TSDC17.2,COG0104,0,613440,0,529390,0,0,550640,0,0,0,0,0,0,0,0,0,1978400,0,0
Bacteroides caccae TSDC17.2,COG0108,4962200,0,9175700,1952800,0,169840,1125600,0,789120,458640,727560,379270,0,558600,429200,1277800,1402100,0,0
Bacteroides caccae TSDC17.2,COG0112,0,0,0,0,0,0,0,0,0,2361400,0,0,0,0,0,0,0,2051700,3495900
Bacteroides caccae TSDC17.2,COG0115,0,2842000,1398200,2431500,3448400,14141000,12081000,15193000,14534000,0,777890,0,946220,0,2569600,2575900,1982900,3266200,0
Bacteroides caccae TSDC17.2,COG0117,0,0,0,0,0,0,0,0,0,0,0,310430,223080,0,0,0,0,0,0
Bacteroides caccae TSDC17.2,COG0119,37179000,21906000,6455300,20843000,15771000,26225000,8249800,13150000,6336300,55598000,32749000,48188000,47017000,47494000,59592000,44884000,45358000,62180000,37414000
Bacteroides caccae TSDC17.2,COG0124,0,0,0,0,631500,527540,0,0,0,0,0,290310,0,0,0,637970,0,0,0
Bacteroides caccae TSDC17.2,COG0126,0,0,0,0,0,0,753320,793100,402030,0,0,0,0,0,311320,217700,482780,423060,0
Bacteroides caccae TSDC17.2,COG0128,0,0,0,0,0,0,0,184250,0,0,0,0,0,0,0,0,0,0,0
Bacteroides caccae TSDC17.2,COG0129,0,0,0,0,0,1053600,0,2203600,0,0,0,0,0,0,0,0,0,0,0
Bacteroides caccae TSDC17.2,COG0136,35327000,24389000,25052000,27504000,27157000,17925000,26588000,29968000,19996000,71339000,59398000,77232000,56865000,59092000,49361000,64902000,38958000,39691000,39681000
Bacteroides caccae TSDC17.2,COG0137,4239300,2829400,0,4203800,3284700,0,0,0,0,4273200,2111400,2379800,2237300,0,0,0,0,0,4753000
Bacteroides caccae TSDC17.2,COG0138,3075700,162930,10915000,0,2569300,19424000,22254000,15171000,21982000,956170,697900,453350,1302700,840340,1690560,335820,315960,719630,0
Bacteroides caccae TSDC17.2,COG0139,0,0,0,0,0,334480,500750,709070,0,0,0,0,0,0,0,0,0,0,0
Bacteroides caccae TSDC17.2,COG0149,987420,0,0,0,0,19539000,21016000,18123000,15629000,18733000,15636000,14801000,18430000,17945000,13964000,26197000,29830000,0,33278000
Bacteroides caccae TSDC17.2,COG0151,9981800,8135200,3244000,7202700,7308300,17807000,19290000,22603000,21108000,12780000,12668000,14025000,11412000,12011000,12242000,9755800,10209000,14362000,9430700
Bacteroides caccae TSDC17.2,COG0152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768580,0,0
Bacteroides caccae TSDC17.2,COG0153,5948300,516040,0,672200,5384300,6223600,2893200,0,0,0,0,0,0,576430,1647900,1696100,969410,321520,0
Bacteroides caccae TSDC17.2,COG0156,94196000,85095000,112200000,59309000,71868000,163560000,155600000,215490000,192690000,60944000,51830000,60036000,54623000,49478000,137860000,89726000,82255000,110920000,100760000
Bacteroides caccae TSDC17.2,COG0162,554870,1219100,628460,743450,635230,466970,1086900,0,619090,0,0,0,0,0,0,0,0,440800,0
Bacteroides caccae TSDC17.2,COG0166,7364200,5648400,3410600,6422800,3413300,4473100,8831300,12039000,11209000,21408000,16954000,15404000,18667000,16508000,16164000,22215000,26118000,9044900,41729000
